Paradise Valley,NV,Humboldt,208,3,0,0,0,0,0,0.0
Neihart,MT,Cascade,33,3,0,0,0,0,0,0.0
Key Colony Beach,FL,Monroe,525,3,0,0,0,0,0,0.0
La Center,KY,Ballard,752,3,0,0,0,0,0,0.0
College Springs,IA,Page,217,3,0,0,0,0,0,0.0
Englewood,KS,Clark,84,3,0,0,0,0,0,0.0
Roseland,LA,Tangipahoa,1125,3,0,0,0,0,0,0.0
Tierra Verde,FL,Pinellas,4051,3,0,0,0,0,0,0.0
Magnet,NE,Cedar,63,3,0,0,0,0,0,0.0
Landmark,AR,Pulaski,3679,3,0,0,0,0,0,0.0
Green Valley,SD,Pennington,1503,3,0,0,0,0,0,0.0
La Puebla,NM,Santa Fe,844,3,0,0,0,0,0,0.0
Booneville,MS,Prentiss,9060,3,0,0,0,0,0,0.0
Malden,IN,Porter,235,4,0,0,0,0,0,0.0
Malden,IL,Bureau,473,3,0,0,0,0,0,0.0
Juda,WI,Green,382,3,0,0,0,0,0,0.0
Kiester,MN,Faribault,544,3,0,0,0,0,0,0.0
Lake Royale,NC,Franklin,2959,4,0,0,0,0,0,0.0
Holloman AFB,NM,Otero,4052,4,0,0,0,0,0,0.0
Lowndesville,SC,Abbeville,166,3,0,0,0,0,0,0.0
East Syracuse,NY,Onondaga,3039,3,0,0,0,0,0,0.0
Wellsboro,IN,LaPorte,532,4,0,0,0,0,0,0.0
Hetland,SD,Kingsbury,10,3,0,0,0,0,0,0.0
New Underwood,SD,Pennington,538,3,0,0,0,0,0,0.0
Woodsdale,OH,Butler,682,3,0,0,0,0,0,0.0
Orange,CA,Orange,138723,2,0,0,0,0,0,0.0
Holiday Valley,OH,Clark,1584,3,0,0,0,0,0,0.0
Oketo,KS,Marshall,105,3,0,0,0,0,0,0.0
Holiday Beach,TX,Aransas,349,3,0,0,0,0,0,0.0
Roseland,NE,Adams,277,3,0,0,0,0,0,0.0
Roseland,NJ,Essex,6211,3,0,0,0,0,0,0.0
Fountain City,IN,Wayne,718,3,0,0,0,0,0,0.0
Sam Rayburn,TX,Jasper,1163,3,0,0,0,0,0,0.0
Clarkston,UT,Cache,596,3,0,0,0,0,0,0.0
Highgate Center,VT,Franklin,410,3,0,0,0,0,0,0.0
Helemano,HI,Honolulu,3206,2,0,0,0,0,0,0.0
Seat Pleasant,MD,Prince George's,4515,2,0,0,0,0,0,0.0
Jumpertown,MS,Prentiss,384,3,0,0,0,0,0,0.0
Ann Arbor,MI,Washtenaw,314647,2,0,0,0,0,0,0.0
South Uniontown,PA,Fayette,1201,3,0,0,0,0,0,0.0
Armona,CA,Kings,4084,3,0,0,0,0,0,0.0
Union City,TN,Obion,11040,3,0,0,0,0,0,0.0
Roseland,OH,Richland,1859,3,0,0,0,0,0,0.0
Strausstown,PA,Berks,341,3,0,0,0,0,0,0.0
Varnado,LA,Washington,357,3,0,0,0,0,0,0.0
